mouse,plane,stage,step,is_last,cells,tile,area_p99,area_max,bloated,torn,rim_area_p99,core_area_p99,iou_cell_dense,match_dense,offset_dense,partners_dense,iou_cell_rigid,match_rigid,offset_rigid,partners_rigid,flipped
CIM131,1,affine,2,False,1076,,1.0686654604979755,1.105263157894737,0.0,1.486988847583643,1.067399562564752,1.0616111696522657,0.2303253473495498,35.87360594795539,6.265042740230243,1.6152416356877324,0.23393643368189324,35.78066914498142,6.232175037589717,1.6013011152416357,0.32397408207343414
CIM131,1,tile_500,3,False,1076,500.0,1.0920371325425478,1.180722891566265,0.0,1.858736059479554,1.1050667714061273,1.0913825396825396,0.2599225384642717,42.193308550185876,5.836279912993833,1.653345724907063,0.25880325348410455,42.193308550185876,5.8400982801500305,1.6366171003717471,0.966702470461869
CIM131,1,tile_200,4,False,1076,200.0,1.1390512845496767,1.2461538461538462,0.0,3.5315985130111525,1.1270963855421687,1.1381943767795857,0.3385423017001964,57.43494423791822,4.61800187205476,1.6802973977695168,0.3370630648591175,57.71375464684015,4.605501502812629,1.6514869888475836,0.41279669762641896
CIM131,1,tile_100,5,True,1076,100.0,1.2026799841772151,1.2820512820512822,0.0,5.111524163568773,1.1763888207141981,1.1855987158908508,0.3836290364787774,66.635687732342,3.877195314734844,1.7258364312267658,0.3863697621861458,66.82156133828995,3.9842602528663216,1.686802973977695,1.1156186612576064
CIM131,2,baseline,0,False,1094,,1.0,1.0,0.0,2.376599634369287,1.0,1.0,0.24585076516569415,41.86471663619744,6.240692627119649,1.4862888482632541,0.24585076516569415,41.86471663619744,6.240692627119649,1.4862888482632541,0.0
CIM131,2,global,1,False,1094,,1.0,1.0,0.0,2.376599634369287,1.0,1.0,0.2773651396042288,46.16087751371115,5.782387630848169,1.5612431444241317,0.2775109392490078,46.16087751371115,5.782387630848169,1.5621572212065813,0.0
CIM131,2,affine,2,False,1094,,1.0108023945806857,1.0170454545454546,0.0,3.656307129798903,1.012070323488045,1.010685713209537,0.2716230924206285,45.52102376599635,5.86268788303683,1.5923217550274222,0.27136136712749614,45.3382084095064,5.845261357714367,1.5978062157221207,0.10319917440660474
CIM131,2,tile_500,3,False,1094,500.0,1.0108023945806857,1.0170454545454546,0.0,3.656307129798903,1.012070323488045,1.010685713209537,0.2716230924206285,45.52102376599635,5.86268788303683,1.5923217550274222,0.27136136712749614,45.3382084095064,5.845261357714367,1.5978062157221207,0.10319917440660474
CIM131,2,tile_200,4,False,1094,200.0,1.1099158336020636,1.1757188498402555,0.0,4.844606946983546,1.1072926207391638,1.1080068058675832,0.33295107033639143,55.667276051188296,4.824446289890112,1.6270566727605118,0.3360015368852459,55.575868372943326,4.835553202295412,1.6206581352833638,0.5128205128205128
CIM131,2,tile_100,5,True,1094,100.0,1.1937083333333331,1.296875,0.0,5.941499085923217,1.1541729475932432,1.190717881782584,0.37326736412735584,61.700182815356484,4.295938443736305,1.6352833638025595,0.3715867027334852,61.06032906764168,4.245939600000008,1.6096892138939671,1.21580547112462
